"","SampleID","site","treatment","TC","TN","O2_avg","ph","conductivity","percent_moisture"
"1","CRr1C","Crocach","NAT",1.760035038,47.24882889,5.7825,4.13,25.9,89.1860270767174
"2","LABRr1B","Langwell","NAT",1.284094691,44.34336853,NA,4.02,23,91.8122198423389
"3","SEr2D","Stean","REST",1.121105909,46.44328308,NA,3.86,39.7,91.9185372488521
"4","SEr2E","Stean","REST",1.006352901,45.62141037,NA,3.96,32.2,90.9368675846196
"5","LASYr2F","Langwell","REST",1.441236258,45.89326859,NA,3.85,37.2,88.3100282759422
"6","CRr2D","Crocach","REST",1.358691812,53.1672554,4.99,4.03,35.9,81.0668498168498
"7","CRr2E","Crocach","REST",1.958444476,49.32398224,7.184,4.02,41.8,83.3472669178529
"8","LABRr1C","Langwell","NAT",1.781040907,47.69652176,6.8445,3.99,22.7,88.5664398819917
"9","CRr2F","Crocach","REST",2.169645786,49.88054276,7.5285,4.1,33.5,82.4070963808955
"10","BOr3G","Bowness","DAM",1.71341157,46.6493187,9.889,3.6,35.1,80.0266507063566
"11","CRr1A","Crocach","NAT",2.021406412,47.89911652,6.276,3.99,46.2,85.2849400558384
"12","MGr2E","Migneint","REST",1.983733058,48.84854507,3.2345,3.91,48.6,87.6656007309274
"13","BOr1C","Bowness","NAT",1.358330965,46.29144669,6.0255,3.69,44.9,83.0757507203582
"14","MHr1A","Moor_House","NAT",1.337292671,47.97346878,10.5,3.75,54.1,88.6083938150836
"15","BAr2D","Balmoral","REST",1.121181965,51.12537766,9.2875,3.71,20.9,85.7110895667089
"16","LASCr2E","Langwell","REST",1.06159246,46.2695694,8.546,NA,NA,90.100148997567
"17","LAWAr2F","Langwell","REST",1.529938936,46.6723938,9.174,NA,NA,86.2789705673255
"18","LASAr3G","Langwell","DAM",1.390716553,46.83959961,8.545,3.78,55.6,87.6080371903119
"19","BOr3H","Bowness","DAM",1.79789412,45.12645721,9.846,3.59,42.4,77.9081190407397
"20","BOr1A","Bowness","NAT",1.435831785,47.23616791,6.98,3.62,41.1,88.1993124079118
"21","BAr1A","Balmoral","NAT",1.170101881,46.27535248,9.874,3.73,46.7,84.0339819128528
"22","SEr3H","Stean","DAM",0.91109246,49.64233017,9.726,3.75,44.5,89.0595009596929
"23","BAr3G","Balmoral","DAM",1.48449719,42.35861969,9.4475,3.6,35.1,74.3387645943048
"24","BAr1B","Balmoral","NAT",1.170600295,46.42555618,8.8665,3.8,28.7,85.8169477991816
"25","BAr1C","Balmoral","NAT",1.247442126,49.78673935,7.0405,3.91,21.9,89.6146441279345
"26","LASAr3H","Langwell","DAM",1.969210625,50.28052902,NA,3.84,62.3,87.4120591151612
"27","BOr2D","Bowness","REST",1.60161674,49.29036713,8.0655,4.15,31,86.8676368676369
"28","LASYr2E","Langwell","REST",1.672199845,48.03182602,6.596,3.94,46.7,86.9076305220884
"29","MHr2F","Moor_House","REST",1.499371648,48.643013,10.3225,3.74,36.9,89.3860016764459
"30","BAr2E","Balmoral","REST",1.540253639,52.07274246,8.2275,3.73,25.3,85.645121244724
"31","LASCr2F","Langwell","REST",1.266359448,51.38515472,10.155,NA,NA,88.3226860793344
"32","BOr2E","Bowness","REST",1.738119721,47.98550797,7.7955,4.04,30.2,84.3795963993646
"33","MGr1B","Migneint","NAT",2.438352346,50.8479805,2.6115,3.94,28.8,91.0577280377713
"34","BAr2F","Balmoral","REST",1.518935919,51.15367889,8.3215,3.51,38.9,83.3903352644192
"35","MHr1C","Moor_House","NAT",1.393555522,49.35647964,8.2995,3.95,30,92.1216881793478
"36","BAr3I","Balmoral","DAM",1.421252012,47.0256424,10.2955,3.62,34.8,67.355876583723
"37","BOr2F","Bowness","REST",1.677931309,49.52766418,8.814,4.06,30.8,85.662607017967
"38","SEr3G","Stean","DAM",1.150385976,52.86704254,NA,3.82,54.8,85.4827620076613
"39","MHr3G","Moor_House","DAM",1.541116357,49.8531723,8.286,3.7,38.9,89.5531531122733
"40","MHr2D","Moor_House","REST",1.761024594,50.64264297,9.138,3.89,37.1,86.3606442269715
"41","MHr3H","Moor_House","DAM",1.583269,50.68416214,9.7405,3.64,39.2,89.2661041186809
"42","MGr2F","Migneint","REST",2.31625843,51.8939743,6.0275,3.85,37.5,86.45019159333
"43","MHr2E","Moor_House","REST",1.994382143,50.98797989,8.686,3.91,30.6,85.6974975805337
"44","CRr3G","Crocach","DAM",1.505045176,51.33075333,NA,3.83,43.8,88.0274504311638
"45","MHr1B","Moor_House","NAT",1.552685142,49.47583771,7.5605,3.98,25.9,92.0621388652079
"46","SEr3I","Stean","DAM",1.363786459,51.86970901,9.927,3.74,47,85.2075267849104
"47","MGr1A","Migneint","NAT",1.8755337,49.51977158,5.394,3.79,48.8,93.1649077518791
"48","LASYr2D","Langwell","REST",1.766113758,50.80509567,NA,3.78,52.5,86.774437091975
"49","LAWAr2E","Langwell","REST",1.784813285,50.25430298,9.2735,NA,NA,89.4887055023341
"50","MGr3G","Migneint","DAM",1.766440988,50.16781616,5.87,3.88,37.9,87.3801655596637
"51","BOr3I","Bowness","DAM",2.243760824,49.97746658,8.8085,3.62,34.8,83.4930625089401
"52","LAWAr2D","Langwell","REST",1.59757328,51.38693619,7.6905,NA,NA,87.7505515655072
"53","BAr3H","Balmoral","DAM",1.809515715,50.73779297,9.353,3.59,42.4,74.8274535538911
"54","LABRr1A","Langwell","NAT",1.785549164,49.90676498,6.2085,4.15,25.7,88.7390576363371
"55","LASAr3I","Langwell","DAM",1.704640269,45.57399368,NA,3.82,63.8,87.8006996976233
"56","MGr3H","Migneint","DAM",1.915001392,47.01844788,9.2865,3.86,33.1,88.81707969335
"57","MGr1C","Migneint","NAT",2.182231903,43.88880157,3.838,3.92,30.1,87.4574209245742
"58","CRr3H","Crocach","DAM",1.627395868,46.77607346,8.0785,3.89,58.7,88.8066188069407
"59","MHr3I","Moor_House","DAM",1.753736734,47.86358261,7.1335,3.7,38.7,87.473214802803
"60","SEr2F","Stean","REST",1.245823503,45.01653671,8.943,4.02,27.8,88.3196832751438
"61","CRr3I","Crocach","DAM",1.711630702,43.69638824,7.498,4.16,45.1,88.6872782564622
"62","LASCr2D","Langwell","REST",0.972393692,41.44368362,NA,NA,NA,89.8648175386986
"63","MGr3I","Migneint","DAM",2.010072231,49.97534561,6.8585,3.75,34.8,87.2098646034816
"64","MGr2D","Migneint","REST",1.966560602,45.53866577,7.686,3.83,30.4,89.5030949968398
"65","CRr1B","Crocach","NAT",1.82973969,49.00603867,5.5245,4.04,30.8,87.6923839500359
"66","BOr1B","Bowness","NAT",1.557888627,48.25643921,6.694,3.7,47.8,86.0316352640149
